param,aic
"[(2, 1, 3), (0, 0, 3, 7)]",13562.168309753983
"[(2, 1, 3), (0, 0, 1, 7)]",13568.924082571943
"[(3, 1, 3), (0, 0, 3, 7)]",13586.66721312455
"[(1, 1, 1), (0, 0, 3, 7)]",13588.15205189447
"[(0, 1, 3), (0, 0, 3, 7)]",13588.65218211318
"[(2, 1, 1), (0, 0, 3, 7)]",13589.172123627706
"[(0, 1, 2), (0, 0, 3, 7)]",13589.634458951412
"[(3, 1, 1), (0, 0, 3, 7)]",13590.386465723219
"[(1, 1, 3), (0, 0, 3, 7)]",13590.576936255271
"[(2, 1, 2), (0, 0, 3, 7)]",13590.985085133321
"[(3, 1, 2), (0, 0, 3, 7)]",13592.921270382823
"[(1, 1, 1), (2, 0, 3, 2)]",13600.665831025774
"[(3, 1, 3), (0, 0, 2, 7)]",13604.355848308074
"[(1, 1, 1), (2, 0, 2, 2)]",13606.370917662782
"[(0, 1, 1), (0, 0, 3, 7)]",13609.02435920294
"[(1, 1, 2), (0, 0, 3, 7)]",13612.900575799358
"[(2, 1, 1), (2, 0, 2, 5)]",13614.110867658503
"[(1, 1, 1), (3, 0, 3, 2)]",13614.608418896725
"[(3, 1, 3), (1, 0, 0, 5)]",13616.062326924592
"[(2, 1, 2), (2, 0, 2, 5)]",13619.309708301887
"[(3, 1, 1), (2, 0, 2, 5)]",13619.449808321682
"[(0, 1, 1), (2, 0, 2, 2)]",13620.112939478811
"[(2, 1, 2), (3, 0, 2, 5)]",13620.201399216134
"[(2, 1, 1), (2, 0, 3, 5)]",13620.711328557254
"[(0, 1, 2), (3, 0, 2, 5)]",13620.914212184936
"[(3, 1, 2), (3, 0, 2, 5)]",13622.12975020993
"[(1, 1, 1), (3, 0, 2, 2)]",13623.185847040393
"[(2, 1, 2), (3, 0, 3, 5)]",13624.120292643096
"[(0, 1, 3), (2, 0, 2, 5)]",13624.2399441745
"[(2, 1, 3), (1, 0, 0, 7)]",13624.391783065857
"[(2, 1, 2), (2, 0, 3, 5)]",13624.50156470326
"[(1, 1, 1), (2, 0, 2, 5)]",13624.725319806861
"[(1, 1, 1), (2, 0, 3, 5)]",13624.807581064142
"[(3, 1, 3), (1, 0, 0, 7)]",13624.82365289263
"[(2, 1, 1), (3, 0, 2, 5)]",13624.88653777471
"[(2, 1, 3), (2, 0, 3, 5)]",13627.250290856307
"[(0, 1, 2), (3, 0, 3, 5)]",13627.865014363764
"[(2, 1, 3), (3, 0, 2, 5)]",13628.97408144787
"[(0, 1, 3), (3, 0, 3, 5)]",13631.599705163528
"[(1, 1, 3), (2, 0, 2, 5)]",13631.78338545581
"[(3, 1, 2), (3, 0, 3, 5)]",13633.201695072916
"[(3, 1, 2), (2, 0, 2, 5)]",13633.920450590991
"[(1, 1, 3), (3, 0, 3, 5)]",13633.983072248653
"[(0, 1, 3), (2, 0, 3, 5)]",13636.582937573976
"[(3, 1, 3), (3, 0, 2, 5)]",13636.602244156318
"[(3, 1, 1), (3, 0, 3, 5)]",13637.396681651026
"[(3, 1, 3), (2, 0, 2, 5)]",13637.56767222377
"[(1, 1, 3), (2, 0, 3, 5)]",13639.275375362975
"[(2, 1, 3), (2, 0, 2, 5)]",13639.497244211627
"[(1, 1, 3), (3, 0, 2, 5)]",13639.583826681843
"[(1, 1, 1), (3, 0, 3, 5)]",13641.550758129466
"[(3, 1, 1), (3, 0, 2, 5)]",13641.57468030944
"[(3, 1, 3), (0, 0, 1, 5)]",13642.343180816424
"[(3, 1, 3), (1, 0, 1, 5)]",13643.366343250074
"[(2, 1, 3), (3, 0, 3, 5)]",13643.62364635093
"[(0, 1, 1), (2, 0, 2, 5)]",13643.980190358252
"[(0, 1, 1), (2, 0, 3, 2)]",13644.37865082861
"[(1, 1, 3), (1, 0, 0, 7)]",13645.2194800132
"[(1, 1, 1), (3, 0, 2, 5)]",13645.302879609113
"[(2, 1, 3), (2, 0, 0, 5)]",13645.640857994327
"[(0, 1, 1), (2, 0, 3, 5)]",13646.505135068499
"[(0, 1, 1), (3, 0, 2, 5)]",13646.506193686244
"[(2, 1, 2), (1, 0, 0, 7)]",13647.132045780718
"[(3, 1, 2), (2, 0, 3, 5)]",13647.33905496124
"[(3, 1, 2), (1, 0, 0, 7)]",13647.566264084911
"[(0, 1, 3), (3, 0, 2, 5)]",13650.81650747971
"[(2, 1, 0), (3, 0, 0, 7)]",13651.03357412494
"[(2, 1, 3), (0, 0, 3, 5)]",13651.094334232173
"[(2, 1, 3), (1, 0, 1, 5)]",13653.121596902594
"[(2, 1, 1), (3, 0, 3, 5)]",13653.917425723474
"[(2, 1, 3), (3, 0, 0, 5)]",13656.109648595811
"[(1, 1, 1), (1, 0, 0, 7)]",13656.211443486554
"[(0, 1, 2), (1, 0, 0, 7)]",13656.99728390575
"[(0, 1, 3), (1, 0, 0, 7)]",13657.776207243769
"[(2, 1, 1), (1, 0, 0, 7)]",13658.068574925328
"[(0, 1, 2), (2, 0, 2, 5)]",13658.797435987994
"[(3, 1, 1), (1, 0, 0, 7)]",13659.25476901196
"[(1, 1, 2), (3, 0, 3, 5)]",13659.63253114908
"[(3, 1, 3), (2, 0, 3, 5)]",13659.941229848839
"[(2, 1, 3), (3, 0, 1, 5)]",13663.371969532578
"[(3, 1, 0), (2, 0, 0, 7)]",13664.09899067899
"[(1, 1, 0), (2, 0, 3, 2)]",13664.546773159389
"[(2, 1, 3), (0, 0, 2, 5)]",13666.734540573787
"[(1, 1, 2), (2, 0, 2, 5)]",13667.088899767563
