param,aic
"[(2, 1, 0), (2, 0, 3, 7)]",13373.139691460894
"[(2, 1, 0), (3, 0, 2, 7)]",13373.144561851983
"[(1, 1, 2), (3, 0, 0, 7)]",13375.820602557893
"[(2, 1, 3), (2, 0, 0, 7)]",13379.706365195156
"[(3, 1, 3), (2, 0, 0, 7)]",13382.063771513094
"[(3, 1, 1), (2, 0, 0, 7)]",13383.727608714413
"[(2, 1, 1), (2, 0, 0, 7)]",13384.53052427211
"[(0, 1, 3), (2, 0, 0, 7)]",13387.359847124757
"[(3, 1, 2), (2, 0, 0, 7)]",13388.485903096243
"[(1, 1, 1), (2, 0, 0, 7)]",13389.243777037027
"[(2, 1, 2), (2, 0, 0, 7)]",13389.973815751162
"[(0, 1, 2), (2, 0, 0, 7)]",13393.393617976322
"[(1, 1, 3), (2, 0, 0, 7)]",13393.587938133544
"[(0, 1, 1), (2, 0, 0, 7)]",13423.459968977531
"[(1, 1, 2), (2, 0, 0, 7)]",13425.532036042447
"[(2, 1, 3), (2, 0, 2, 5)]",13520.903959985822
"[(0, 1, 3), (0, 0, 3, 7)]",13522.265664953638
"[(2, 1, 1), (0, 0, 3, 7)]",13522.454523515898
"[(1, 1, 1), (0, 0, 3, 7)]",13522.96175227084
"[(3, 1, 1), (0, 0, 3, 7)]",13524.319871646443
"[(1, 1, 3), (0, 0, 3, 7)]",13524.55674939603
"[(2, 1, 2), (0, 0, 3, 7)]",13524.654641683052
"[(2, 1, 3), (3, 0, 2, 5)]",13525.215416109264
"[(3, 1, 2), (0, 0, 3, 7)]",13525.728825670682
"[(2, 1, 3), (0, 0, 3, 7)]",13525.881050987855
"[(0, 1, 2), (0, 0, 3, 7)]",13526.194643048793
"[(3, 1, 3), (0, 0, 3, 7)]",13528.301901636172
"[(2, 1, 3), (2, 0, 3, 5)]",13551.257548725953
"[(1, 1, 0), (1, 0, 3, 7)]",13557.174163868764
"[(1, 1, 0), (3, 0, 1, 7)]",13557.30161988951
"[(0, 1, 1), (0, 0, 3, 7)]",13558.34777452454
"[(3, 1, 3), (3, 0, 2, 5)]",13559.962438081966
"[(3, 1, 0), (3, 0, 0, 7)]",13560.864709922385
"[(1, 1, 2), (0, 0, 3, 7)]",13562.128288789863
"[(1, 1, 0), (1, 0, 1, 7)]",13563.104661714056
"[(1, 1, 0), (2, 0, 1, 7)]",13564.93187594876
"[(1, 1, 0), (1, 0, 2, 7)]",13564.954442600494
"[(1, 1, 0), (2, 0, 2, 7)]",13566.294695320823
"[(3, 1, 3), (1, 0, 0, 7)]",13566.879814760927
"[(1, 1, 0), (3, 0, 3, 7)]",13568.157523948561
"[(1, 1, 0), (2, 0, 3, 7)]",13568.225697698263
"[(1, 1, 0), (3, 0, 2, 7)]",13568.577661696283
"[(2, 1, 3), (3, 0, 3, 5)]",13569.370574441513
"[(2, 1, 3), (1, 0, 0, 7)]",13572.657082442869
"[(1, 1, 3), (1, 0, 0, 7)]",13576.613621269265
"[(2, 1, 2), (1, 0, 0, 7)]",13578.18322383806
"[(3, 1, 2), (1, 0, 0, 7)]",13579.170005136373
"[(3, 1, 3), (2, 0, 3, 5)]",13584.734575705306
"[(1, 1, 1), (1, 0, 0, 7)]",13587.198895742116
"[(0, 1, 3), (1, 0, 0, 7)]",13588.470012663802
"[(0, 1, 2), (1, 0, 0, 7)]",13588.589475095378
"[(2, 1, 1), (1, 0, 0, 7)]",13588.797838056998
"[(0, 1, 1), (2, 0, 3, 2)]",13589.084794952563
"[(3, 1, 1), (1, 0, 0, 7)]",13590.306764768482
"[(1, 1, 1), (2, 0, 2, 5)]",13594.727614651836
"[(2, 1, 2), (2, 0, 2, 5)]",13597.030891316273
"[(0, 1, 3), (3, 0, 2, 5)]",13597.107529766845
"[(0, 1, 1), (2, 0, 2, 5)]",13599.21887813841
"[(2, 1, 1), (3, 0, 3, 5)]",13600.034038260637
"[(1, 1, 0), (2, 0, 3, 2)]",13600.809890912962
"[(0, 1, 2), (2, 0, 2, 5)]",13601.366183225768
"[(1, 1, 1), (2, 0, 3, 2)]",13602.946590440475
"[(0, 1, 1), (2, 0, 3, 5)]",13603.755973240968
"[(0, 1, 1), (3, 0, 2, 5)]",13604.686683669332
"[(0, 1, 1), (2, 0, 2, 2)]",13605.547479714756
"[(1, 1, 2), (2, 0, 3, 5)]",13606.04164228881
"[(0, 1, 2), (3, 0, 3, 5)]",13606.101866474279
"[(1, 1, 1), (0, 0, 2, 7)]",13608.549465028502
"[(0, 1, 2), (0, 0, 2, 7)]",13609.547278285476
"[(0, 1, 3), (0, 0, 2, 7)]",13610.11775216174
"[(2, 1, 1), (0, 0, 2, 7)]",13610.523761807617
"[(3, 1, 1), (0, 0, 2, 7)]",13611.023006312826
"[(1, 1, 3), (0, 0, 2, 7)]",13612.139906418797
"[(2, 1, 2), (0, 0, 2, 7)]",13612.228463229576
"[(2, 1, 3), (0, 0, 2, 7)]",13614.124988161573
"[(3, 1, 2), (0, 0, 2, 7)]",13614.1623166562
"[(0, 1, 1), (1, 0, 0, 7)]",13614.689646958446
"[(1, 1, 3), (3, 0, 2, 5)]",13615.626506829827
"[(1, 1, 3), (2, 0, 3, 5)]",13615.83919824878
"[(3, 1, 3), (0, 0, 2, 7)]",13616.139820955623
"[(1, 1, 2), (1, 0, 0, 7)]",13616.895373911313
"[(2, 1, 2), (2, 0, 3, 5)]",13616.953111340943
"[(1, 1, 3), (3, 0, 3, 5)]",13618.981700535674
"[(1, 1, 2), (2, 0, 2, 5)]",13619.054284542119
"[(0, 1, 2), (3, 0, 2, 5)]",13622.043372316943
"[(3, 1, 2), (3, 0, 3, 5)]",13622.765698345409
"[(3, 1, 2), (2, 0, 2, 5)]",13623.173676266359
"[(0, 1, 3), (3, 0, 3, 5)]",13627.44681989592
"[(3, 1, 1), (2, 0, 2, 5)]",13629.98124639709
"[(3, 1, 1), (3, 0, 3, 5)]",13631.09798682154
"[(2, 1, 1), (2, 0, 3, 5)]",13633.274439234889
"[(0, 1, 3), (2, 0, 3, 5)]",13635.363893436115
"[(0, 1, 1), (3, 0, 3, 2)]",13636.864113920354
"[(2, 1, 2), (3, 0, 2, 5)]",13638.580141057852
"[(0, 1, 1), (0, 0, 2, 7)]",13638.707927040563
"[(1, 1, 2), (0, 0, 2, 7)]",13639.728676578996
"[(1, 1, 1), (3, 0, 3, 2)]",13643.29869610682
"[(0, 1, 2), (2, 0, 3, 5)]",13643.832876694352
"[(0, 1, 3), (2, 0, 2, 5)]",13645.009381117481
"[(1, 1, 2), (3, 0, 2, 5)]",13645.218056021316
"[(0, 1, 1), (3, 0, 2, 2)]",13646.582877291481
"[(3, 1, 2), (3, 0, 2, 5)]",13647.635381498181
"[(1, 1, 1), (3, 0, 2, 5)]",13652.332670189902
"[(2, 1, 2), (3, 0, 3, 5)]",13657.76684316888
"[(2, 1, 0), (3, 0, 0, 7)]",13658.80312574442
"[(3, 1, 3), (2, 0, 2, 5)]",13664.013094537122
"[(1, 1, 0), (3, 0, 3, 2)]",13666.153434976357
"[(2, 1, 1), (3, 0, 2, 5)]",13668.075731208439
"[(3, 1, 0), (2, 0, 0, 7)]",13671.733374410956
"[(3, 1, 3), (3, 0, 3, 5)]",13674.175109525786
"[(1, 1, 1), (3, 0, 3, 5)]",13675.523748481994
"[(3, 1, 2), (2, 0, 3, 5)]",13676.71445554694
"[(1, 1, 2), (3, 0, 3, 5)]",13678.010008082285
"[(3, 1, 1), (2, 0, 3, 5)]",13678.62948574045
"[(1, 1, 1), (2, 0, 3, 5)]",13681.899530355426
"[(2, 1, 3), (0, 0, 1, 7)]",13684.295673440654
"[(0, 1, 1), (3, 0, 3, 5)]",13689.273014527691
"[(2, 1, 1), (2, 0, 2, 5)]",13694.563976919551
"[(1, 1, 3), (2, 0, 2, 5)]",13700.014149358554
"[(3, 1, 3), (1, 0, 2, 5)]",13713.164078489837
"[(3, 1, 3), (0, 0, 2, 5)]",13723.082541160733
"[(1, 1, 1), (3, 0, 2, 2)]",13746.523612018304
"[(3, 1, 0), (3, 0, 3, 5)]",13753.247591197849
"[(3, 1, 0), (2, 0, 2, 5)]",13755.203403483378
"[(3, 1, 1), (0, 0, 1, 7)]",13766.636578832626
"[(3, 1, 3), (3, 0, 1, 5)]",13768.686889827604
"[(3, 1, 2), (0, 0, 1, 7)]",13768.9830768239
"[(2, 1, 2), (0, 0, 1, 7)]",13769.321972453698
"[(1, 1, 1), (0, 0, 1, 7)]",13770.029073429965
"[(0, 1, 2), (0, 0, 1, 7)]",13770.234823712359
"[(0, 1, 3), (0, 0, 1, 7)]",13771.469458608344
"[(2, 1, 1), (0, 0, 1, 7)]",13771.655946285895
"[(1, 1, 3), (0, 0, 1, 7)]",13772.42912793298
"[(2, 1, 3), (3, 0, 0, 5)]",13773.980051021803
"[(2, 1, 0), (2, 0, 0, 7)]",13775.292335575657
"[(3, 1, 3), (3, 0, 0, 5)]",13775.389599957123
"[(2, 1, 3), (3, 0, 1, 5)]",13776.172637651314
"[(3, 1, 3), (0, 0, 1, 7)]",13776.371820327291
"[(2, 1, 3), (2, 0, 1, 5)]",13787.202061280434
"[(3, 1, 3), (2, 0, 1, 5)]",13792.759698375263
"[(3, 1, 0), (3, 0, 2, 5)]",13795.35578997415
"[(0, 1, 1), (0, 0, 1, 7)]",13802.11639146025
"[(1, 1, 2), (0, 0, 1, 7)]",13806.062162896826
"[(3, 1, 3), (2, 0, 0, 5)]",13810.570950572353
"[(2, 1, 3), (0, 0, 2, 5)]",13812.488699731268
"[(2, 1, 3), (2, 0, 0, 5)]",13821.250367544239
"[(2, 1, 3), (0, 0, 3, 5)]",13826.461458302556
"[(2, 1, 3), (1, 0, 2, 5)]",13835.018599179288
"[(1, 1, 0), (3, 0, 0, 7)]",13835.57562172119
