param,smape
"(150, 0.2, 12, 0.0, 5)",13.04516274
"(50, 0.2, 12, 0.1, 3)",13.04833952
"(50, 0.2, 12, 0.2, 1)",13.0523265
"(50, 0.2, 12, 0.2, 3)",13.06886352
"(150, 0.2, 12, 0.2, 1)",13.0710798
"(50, 0.2, 12, 0.0, 3)",13.07151421
"(50, 0.2, 12, 0.1, 1)",13.07221789
"(150, 0.2, 12, 0.2, 3)",13.07368819
"(150, 0.2, 12, 0.1, 1)",13.07609093
"(350, 0.01, 10, 0.2, 5)",13.0765013
"(350, 0.01, 10, 0.0, 5)",13.07831745
"(350, 0.01, 10, 0.1, 3)",13.08000343
"(50, 0.2, 12, 0.0, 1)",13.08016443
"(350, 0.01, 10, 0.1, 5)",13.08055438
"(150, 0.1, 6, 0.0, 5)",13.0813972
"(150, 0.1, 6, 0.1, 5)",13.0813972
"(150, 0.1, 6, 0.2, 5)",13.0813972
"(350, 0.01, 10, 0.2, 1)",13.08234926
"(350, 0.01, 10, 0.0, 3)",13.08284084
"(350, 0.01, 10, 0.2, 3)",13.08388251
"(350, 0.01, 10, 0.1, 1)",13.08488102
"(350, 0.01, 10, 0.0, 1)",13.08585832
"(150, 0.2, 12, 0.1, 3)",13.08600678
"(250, 0.2, 10, 0.0, 3)",13.08733736
"(150, 0.2, 12, 0.0, 1)",13.08836423
"(150, 0.1, 6, 0.0, 1)",13.09879293
"(150, 0.1, 6, 0.1, 1)",13.09879293
"(150, 0.1, 6, 0.2, 1)",13.09879293
"(150, 0.2, 12, 0.0, 3)",13.1129395
"(250, 0.2, 12, 0.0, 3)",13.14373894
"(250, 0.2, 12, 0.2, 1)",13.1437768
"(250, 0.2, 12, 0.1, 3)",13.14434403
"(150, 0.1, 6, 0.0, 3)",13.14930868
"(150, 0.1, 6, 0.1, 3)",13.14930868
"(150, 0.1, 6, 0.2, 3)",13.14930868
"(250, 0.2, 12, 0.1, 5)",13.15088935
"(250, 0.2, 12, 0.0, 5)",13.15348044
"(250, 0.2, 12, 0.1, 1)",13.15650975
"(250, 0.2, 12, 0.2, 3)",13.15960858
"(250, 0.2, 12, 0.2, 5)",13.1658459
"(250, 0.05, 6, 0.0, 5)",13.16833043
